Date,Open,High,Low,Close,Adj Close,Volume,Days
11/20/2018,169.25,172,167,169.050003,152.706314,8661000,194
11/21/2018,170,170.929993,169.149994,169.300003,152.93219,5752100,195
11/23/2018,169.389999,170.330002,168.470001,168.850006,152.52565,2711000,196
11/26/2018,170.199997,172.389999,168.869995,169.820007,153.401855,6140500,197
11/27/2018,169.110001,173.380005,168.820007,173.220001,156.473145,7084200,198
11/28/2018,172.910004,177.649994,170.619995,177.429993,161.234894,7133600,199
11/29/2018,176.800003,177.270004,174.919998,175.660004,159.626419,4329300,200
11/30/2018,175.75,180.369995,175.110001,180.320007,163.861115,8942400,201
12/3/2018,183.289993,183.5,179.350006,181.740005,165.151505,7610600,202
12/4/2018,181.059998,182.229996,174.550003,175.300003,159.299316,7059600,203
12/6/2018,173.5,176.039993,170.460007,175.960007,159.899109,7571200,204
12/7/2018,175.350006,178.360001,172.240005,172.789993,157.018417,6226100,205
12/10/2018,173.389999,173.990005,167.729996,171.690002,156.018814,5373800,206
12/11/2018,174.300003,175.600006,171.240005,172.210007,156.491348,5229400,207
12/12/2018,173.75,176.869995,172.809998,174.210007,158.308807,5912500,208
12/13/2018,174.309998,174.910004,172.070007,173.869995,157.999832,6102200,209
12/14/2018,172.979996,175.139999,171.949997,172.289993,156.564056,4265200,210
12/17/2018,171.509995,171.990005,166.929993,167.970001,152.638412,5631700,211
12/18/2018,168.899994,171.949997,168.5,170.039993,154.519394,4462200,212
12/19/2018,170.919998,174.949997,166.770004,167.559998,152.265762,6996900,213
12/20/2018,166.279999,167.309998,162.229996,164.160004,149.176132,7675600,214
12/21/2018,162.809998,167.960007,160.169998,160.479996,145.832031,13034100,215
12/24/2018,160.160004,161.399994,158.089996,158.139999,143.705597,4547400,216
12/26/2018,159.460007,168.279999,159.440002,168.279999,152.920059,6141500,217
12/27/2018,166.440002,170.460007,163.360001,170.320007,154.773865,5069300,218
12/28/2018,171.220001,173.119995,168.600006,170.220001,154.682983,4552000,219
12/31/2018,171.470001,173.240005,170.649994,171.820007,156.136948,4206000,220
1/2/2019,169.710007,173.179993,169.050003,172.410004,156.673111,4242900,221
1/3/2019,171.839996,171.839996,168.210007,168.610001,153.219955,4810500,222
1/4/2019,170.179993,174.740005,169.520004,173.619995,157.772659,4762600,223
1/7/2019,173.830002,178.179993,173.830002,177.039993,160.880478,4928800,224
1/8/2019,178.570007,179.589996,175.610001,177.889999,161.652924,4722400,225
1/9/2019,177.869995,181.270004,177.100006,179.729996,163.324921,4922000,226
1/10/2019,178.029999,179.240005,176.339996,179.059998,162.71611,3605300,227
1/11/2019,177.929993,180.259995,177.119995,179.410004,163.034195,3285100,228
1/14/2019,177.589996,179.229996,176.899994,178.809998,162.488922,3871400,229
1/15/2019,176.080002,177.820007,175.199997,176.470001,160.362518,5016100,230
1/16/2019,177.089996,177.929993,175.860001,177.039993,160.880478,4075400,231
1/17/2019,174.009995,175.460007,172,174.869995,158.908569,6499200,232
1/18/2019,176.979996,180.039993,176.179993,179.580002,163.18866,6371100,233
1/22/2019,177.490005,178.600006,175.360001,177.110001,160.944092,6272700,234
1/23/2019,176.589996,178.059998,174.529999,176.889999,160.744171,4910400,235
1/24/2019,177,177.529999,175.300003,177.289993,161.107666,3860100,236
1/25/2019,179.779999,180.869995,178.610001,180.399994,163.933792,4501800,237
1/28/2019,178.970001,179.990005,177.410004,179.830002,163.415833,4091400,238
1/29/2019,178.960007,180.149994,178.089996,179.690002,163.28862,3686900,239
1/30/2019,180.470001,184.199997,179.779999,182.179993,165.551331,5197700,240
1/31/2019,181.5,184.669998,181.059998,183.529999,166.778107,5138000,241
2/1/2019,184.029999,185.149994,182.830002,184.369995,167.541412,4513100,242
2/4/2019,184.300003,186.429993,183.839996,186.429993,169.413391,3050200,243
2/5/2019,186.889999,186.990005,184.690002,186.389999,169.37706,4135200,244
2/6/2019,186.690002,186.690002,184.059998,184.720001,167.859467,3072500,245
2/7/2019,183.740005,184.919998,182.449997,184.070007,167.268829,2793400,246
